(0.067215370, -0.496982500, -0.860571400)
(0.048439280, -0.708379100, -0.696702600)
(0.027241610, -0.869102700, -0.487981200)
(-0.001564674, -0.960755900, -0.273909200)
(0.013837370, -0.991072700, -0.125965100)
(0.039943960, -0.998106300, 0.030114880)
(0.027522810, -0.990531800, 0.130477000)
(-0.006264287, -0.981791900, 0.187951400)
(-0.038668000, -0.968208800, 0.247084500)
(-0.036415270, -0.971754900, 0.232602600)
(-0.020537070, -0.990765500, 0.115942500)
(-0.012879030, -0.997964100, -0.032218800)
(0.012792650, -0.972327900, -0.221828500)
(0.063108380, -0.902915800, -0.421605100)
(0.112134300, -0.810322600, -0.574634600)
(0.081438890, -0.677427900, -0.727843800)
(0.057266180, -0.529141400, -0.843335500)
(0.067326070, -0.362277000, -0.928145800)
(0.058034760, -0.243438000, -0.967979100)
(0.069831050, -0.158728200, -0.984389600)
