(0.024171890, -0.000348015, -0.999687400)
(0.014212050, -0.065958400, -0.996857200)
(-0.001544705, -0.217321500, -0.974671200)
(-0.017040570, -0.432217800, -0.898901500)
(-0.042599290, -0.596373700, -0.799013300)
(-0.054946550, -0.733899400, -0.675552200)
(-0.005747167, -0.860093700, -0.505294200)
(0.029149620, -0.937508600, -0.341310300)
(0.019448050, -0.978872500, -0.202340800)
(-0.004875732, -0.989200600, -0.146059400)
(-0.001730123, -0.988855100, -0.148620500)
(0.004626607, -0.984638000, -0.174435900)
(-0.003564529, -0.976236300, -0.215687800)
(-0.007132228, -0.953426700, -0.300319400)
(-0.036041720, -0.905598900, -0.420427400)
(-0.070279960, -0.821265200, -0.563724900)
(-0.033486570, -0.728324800, -0.683619600)
(0.010571400, -0.632224200, -0.773902400)
(0.012464180, -0.532811200, -0.845433800)
(-0.024576500, -0.422630900, -0.905103000)
