(-0.083794260, 0.027363050, -0.993629600)
(-0.067984030, -0.272497600, -0.953237400)
(-0.057618840, -0.526445900, -0.843868700)
(-0.050588880, -0.666875500, -0.741266600)
(-0.049121000, -0.770224000, -0.634642000)
(-0.029761740, -0.855008200, -0.516933500)
(-0.000628866, -0.904151100, -0.427149700)
(0.010585600, -0.920301100, -0.390840600)
(0.007118951, -0.938209500, -0.345162400)
(0.008868785, -0.956437300, -0.290712100)
(0.004584757, -0.975715300, -0.217096400)
(-0.001713879, -0.988638500, -0.148397400)
(0.010726750, -0.997604100, -0.066232040)
(0.011158780, -0.999384600, -0.033148690)
(-0.001320736, -0.996430700, -0.078018020)
(0.018617780, -0.979716700, -0.192655400)
(-0.037769380, -0.919986700, -0.385783900)
(-0.107562200, -0.837330200, -0.528778500)
(-0.174977900, -0.711096000, -0.678836800)
(-0.169576900, -0.612210300, -0.772027500)
