(-0.064622630, -0.435643000, -0.890721700)
(-0.076841520, -0.665841500, -0.735381500)
(-0.080734460, -0.831586700, -0.544552300)
(-0.045186830, -0.926553100, -0.371130800)
(-0.023948590, -0.965876400, -0.257036700)
(-0.054224840, -0.982259200, -0.177365300)
(-0.056536650, -0.992826900, -0.104636800)
(-0.047608240, -0.996892000, -0.061469540)
(-0.032393770, -0.998870200, -0.030321700)
(-0.020438800, -0.999675800, -0.005045192)
(-0.007639661, -0.999451200, 0.030998970)
(-0.016755700, -0.998349300, 0.053795220)
(-0.015858250, -0.999105500, 0.015288220)
(0.024190540, -0.991309500, -0.122404800)
(0.038535040, -0.944047600, -0.322565900)
(0.014425900, -0.860912500, -0.503155200)
(0.025316440, -0.740374000, -0.668031200)
(0.059156060, -0.607095600, -0.790518900)
(0.064275560, -0.513845600, -0.854740500)
(0.043316630, -0.422378600, -0.904659700)
