(-0.027317150, 0.048101460, -0.998437700)
(-0.038798710, 0.011457630, -0.998815400)
(-0.061219290, -0.068602410, -0.995351000)
(-0.058368020, -0.216839600, -0.974288900)
(-0.039634600, -0.421547000, -0.902818800)
(-0.011647900, -0.593168900, -0.802081700)
(-0.017131410, -0.724432300, -0.687266000)
(-0.019537240, -0.832029200, -0.553099100)
(-0.024858280, -0.897093100, -0.439758000)
(-0.045860850, -0.943587700, -0.326520900)
(-0.044251990, -0.973019200, -0.223416100)
(-0.035274590, -0.987931000, -0.147323400)
(-0.041538110, -0.995066800, -0.089564930)
(-0.033411230, -0.996870400, -0.068350000)
(0.021204330, -0.997113900, -0.071312830)
(0.107902100, -0.982555700, -0.148865800)
(0.138727100, -0.938010200, -0.310526100)
(0.077303360, -0.818901400, -0.556656200)
(0.040355760, -0.649402900, -0.749829300)
(0.033114470, -0.460831300, -0.886005400)
